Sortowanie,RozmiarTablicy,MetodaInicjalizacji,CzasSortowania
HeapSort,47500,constant,5
HeapSort,47500,v-shape,41
HeapSort,50000,random,47
HeapSort,50000,ascending,44
HeapSort,50000,descending,47
HeapSort,50000,constant,5
HeapSort,50000,v-shape,45
CocktailSort,2500,random,69
CocktailSort,2500,ascending,0
CocktailSort,2500,descending,109
CocktailSort,2500,constant,0
CocktailSort,2500,v-shape,60
CocktailSort,5000,random,297
CocktailSort,5000,ascending,0
CocktailSort,5000,descending,389
CocktailSort,5000,constant,0
CocktailSort,5000,v-shape,242
CocktailSort,7500,random,657
CocktailSort,7500,ascending,0
CocktailSort,7500,descending,872
CocktailSort,7500,constant,0
CocktailSort,7500,v-shape,590
CocktailSort,10000,random,1152
CocktailSort,10000,ascending,0
CocktailSort,10000,descending,1538
CocktailSort,10000,constant,0
CocktailSort,10000,v-shape,996
CocktailSort,12500,random,1816
CocktailSort,12500,ascending,0
CocktailSort,12500,descending,2674
CocktailSort,12500,constant,0
CocktailSort,12500,v-shape,1529
CocktailSort,15000,random,2711
CocktailSort,15000,ascending,0
CocktailSort,15000,descending,3485
CocktailSort,15000,constant,0
CocktailSort,15000,v-shape,2205
CocktailSort,17500,random,3564
CocktailSort,17500,ascending,0
CocktailSort,17500,descending,4768
CocktailSort,17500,constant,0
CocktailSort,17500,v-shape,3013
CocktailSort,20000,random,4623
CocktailSort,20000,ascending,0
CocktailSort,20000,descending,5961
CocktailSort,20000,constant,0
CocktailSort,20000,v-shape,3979
CocktailSort,22500,random,5954
CocktailSort,22500,ascending,0
CocktailSort,22500,descending,7873
CocktailSort,22500,constant,0
CocktailSort,22500,v-shape,4996
CocktailSort,25000,random,7350
CocktailSort,25000,ascending,0
CocktailSort,25000,descending,10061
CocktailSort,25000,constant,0
CocktailSort,25000,v-shape,6315
CocktailSort,27500,random,9061
CocktailSort,27500,ascending,0
CocktailSort,27500,descending,12039
CocktailSort,27500,constant,0
CocktailSort,27500,v-shape,7483
CocktailSort,30000,random,10671
CocktailSort,30000,ascending,0
CocktailSort,30000,descending,14170
CocktailSort,30000,constant,0
CocktailSort,30000,v-shape,9107
CocktailSort,32500,random,12721
CocktailSort,32500,ascending,0
CocktailSort,32500,descending,16585
CocktailSort,32500,constant,0
CocktailSort,32500,v-shape,10625
CocktailSort,35000,random,14749
CocktailSort,35000,ascending,0
CocktailSort,35000,descending,20769
CocktailSort,35000,constant,0
CocktailSort,35000,v-shape,12541
CocktailSort,37500,random,16680
CocktailSort,37500,ascending,1
CocktailSort,37500,descending,22628
CocktailSort,37500,constant,0
CocktailSort,37500,v-shape,14683
CocktailSort,40000,random,19357
CocktailSort,40000,ascending,1
CocktailSort,40000,descending,26317
CocktailSort,40000,constant,1
CocktailSort,40000,v-shape,20627
CocktailSort,42500,random,26448
CocktailSort,42500,ascending,0
CocktailSort,42500,descending,33138
CocktailSort,42500,constant,1
CocktailSort,42500,v-shape,19933
CocktailSort,45000,random,24863
CocktailSort,45000,ascending,1
CocktailSort,45000,descending,33141
CocktailSort,45000,constant,1
CocktailSort,45000,v-shape,24401
CocktailSort,47500,random,34892
CocktailSort,47500,ascending,1
CocktailSort,47500,descending,42355
CocktailSort,47500,constant,1
CocktailSort,47500,v-shape,28364
CocktailSort,50000,random,34004
CocktailSort,50000,ascending,1
CocktailSort,50000,descending,53454
CocktailSort,50000,constant,1
CocktailSort,50000,v-shape,31363
