Sortowanie,RozmiarTablicy,MetodaInicjalizacji,CzasSortowania
HeapSort,35000,ascending,9
HeapSort,35000,descending,10
HeapSort,35000,constant,1
HeapSort,35000,v-shape,9
HeapSort,37500,random,12
HeapSort,37500,ascending,12
HeapSort,37500,descending,13
HeapSort,37500,constant,1
HeapSort,37500,v-shape,13
HeapSort,40000,random,12
HeapSort,40000,ascending,12
HeapSort,40000,descending,11
HeapSort,40000,constant,2
HeapSort,40000,v-shape,11
HeapSort,42500,random,13
HeapSort,42500,ascending,12
HeapSort,42500,descending,13
HeapSort,42500,constant,1
HeapSort,42500,v-shape,12
HeapSort,45000,random,14
HeapSort,45000,ascending,13
HeapSort,45000,descending,13
HeapSort,45000,constant,1
HeapSort,45000,v-shape,14
HeapSort,47500,random,18
HeapSort,47500,ascending,14
HeapSort,47500,descending,14
HeapSort,47500,constant,2
HeapSort,47500,v-shape,13
HeapSort,50000,random,17
HeapSort,50000,ascending,16
HeapSort,50000,descending,14
HeapSort,50000,constant,4
HeapSort,50000,v-shape,14
CocktailSort,2500,random,30
CocktailSort,2500,ascending,0
CocktailSort,2500,descending,49
CocktailSort,2500,constant,0
CocktailSort,2500,v-shape,21
CocktailSort,5000,random,119
CocktailSort,5000,ascending,0
CocktailSort,5000,descending,174
CocktailSort,5000,constant,0
CocktailSort,5000,v-shape,92
CocktailSort,7500,random,290
CocktailSort,7500,ascending,0
CocktailSort,7500,descending,387
CocktailSort,7500,constant,0
CocktailSort,7500,v-shape,221
CocktailSort,10000,random,488
CocktailSort,10000,ascending,0
CocktailSort,10000,descending,670
CocktailSort,10000,constant,0
CocktailSort,10000,v-shape,382
CocktailSort,12500,random,754
CocktailSort,12500,ascending,0
CocktailSort,12500,descending,1022
CocktailSort,12500,constant,0
CocktailSort,12500,v-shape,597
CocktailSort,15000,random,1458
CocktailSort,15000,ascending,0
CocktailSort,15000,descending,2651
CocktailSort,15000,constant,0
CocktailSort,15000,v-shape,1985
CocktailSort,17500,random,2510
CocktailSort,17500,ascending,0
CocktailSort,17500,descending,3901
CocktailSort,17500,constant,0
CocktailSort,17500,v-shape,2203
CocktailSort,20000,random,3618
CocktailSort,20000,ascending,0
CocktailSort,20000,descending,4954
CocktailSort,20000,constant,0
CocktailSort,20000,v-shape,2848
CocktailSort,22500,random,4327
CocktailSort,22500,ascending,0
CocktailSort,22500,descending,5860
CocktailSort,22500,constant,0
CocktailSort,22500,v-shape,3726
CocktailSort,25000,random,5395
CocktailSort,25000,ascending,0
CocktailSort,25000,descending,7786
CocktailSort,25000,constant,0
CocktailSort,25000,v-shape,4342
CocktailSort,27500,random,6848
CocktailSort,27500,ascending,0
CocktailSort,27500,descending,10030
CocktailSort,27500,constant,0
CocktailSort,27500,v-shape,5376
CocktailSort,30000,random,7952
CocktailSort,30000,ascending,0
CocktailSort,30000,descending,10929
CocktailSort,30000,constant,0
CocktailSort,30000,v-shape,6603
CocktailSort,32500,random,9915
CocktailSort,32500,ascending,0
CocktailSort,32500,descending,14043
CocktailSort,32500,constant,0
CocktailSort,32500,v-shape,7465
CocktailSort,35000,random,10523
CocktailSort,35000,ascending,0
CocktailSort,35000,descending,16210
CocktailSort,35000,constant,0
CocktailSort,35000,v-shape,9789
CocktailSort,37500,random,13246
CocktailSort,37500,ascending,0
CocktailSort,37500,descending,18173
CocktailSort,37500,constant,0
CocktailSort,37500,v-shape,10843
CocktailSort,40000,random,14957
CocktailSort,40000,ascending,0
CocktailSort,40000,descending,13208
CocktailSort,40000,constant,0
CocktailSort,40000,v-shape,6038
CocktailSort,42500,random,11147
CocktailSort,42500,ascending,0
CocktailSort,42500,descending,17229
CocktailSort,42500,constant,0
CocktailSort,42500,v-shape,9543
CocktailSort,45000,random,10381
CocktailSort,45000,ascending,0
CocktailSort,45000,descending,21113
CocktailSort,45000,constant,0
CocktailSort,45000,v-shape,15814
CocktailSort,47500,random,20653
CocktailSort,47500,ascending,6
CocktailSort,47500,descending,31448
CocktailSort,47500,constant,0
CocktailSort,47500,v-shape,17614
CocktailSort,50000,random,24322
CocktailSort,50000,ascending,0
CocktailSort,50000,descending,34632
CocktailSort,50000,constant,0
CocktailSort,50000,v-shape,19221
